Skin,Skin.1,Skin.2,Eyes,Eyes.1,Eyes.2,Eyes.3,Eyes.4,Eyes.5,Eyes.6,Eyes.7,Height,Chest,Waist,Hips,Suits,Shoes
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178.0,86.0,60.0,90.0,41.0,39.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,100.0,83.0,101.0,43.0,45.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,179.0,86.0,60.0,88.0,42.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178.0,84.0,63.0,89.0,42.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,82.0,61.0,88.0,41.0,37.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,188.0,100.0,76.0,98.0,52.0,45.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,186.0,98.0,75.0,95.0,51.0,42.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,188.0,103.0,76.0,96.0,53.0,44.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,84.0,60.0,89.0,38.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,88.0,60.0,87.0,37.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,183.0,98.0,76.0,96.0,51.0,43.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,165.0,81.0,60.0,85.0,39.0,37.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178.0,100.0,75.0,90.0,46.0,42.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,173.0,86.0,61.0,89.0,40.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178.0,86.0,60.0,89.0,42.5,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178.0,84.0,61.0,88.0,40.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,179.0,86.0,58.0,86.0,37.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,179.0,83.0,59.0,88.0,38.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,86.0,60.0,88.0,39.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,87.0,57.0,88.0,41.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,81.0,60.0,88.0,41.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,179.0,87.0,59.0,88.0,41.0,40.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178.0,83.0,60.0,88.0,41.0,40.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,177.0,82.0,60.0,88.0,41.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,81.0,62.0,86.0,38.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178.0,83.0,57.0,86.0,41.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,177.0,87.0,60.0,87.0,42.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,179.0,84.0,60.0,90.0,41.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,83.0,59.0,88.0,41.0,41.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,86.0,59.0,88.0,41.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,179.0,82.0,59.0,88.0,41.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182.0,87.0,62.0,90.0,41.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,179.0,83.0,59.0,88.0,41.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,181.0,86.0,59.0,88.0,43.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,179.0,88.0,60.0,89.0,41.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,177.0,84.0,64.0,90.0,41.0,39.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,175.0,84.0,61.0,88.0,41.0,38.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,84.0,62.0,89.0,37.0,37.0
