Page,Row,Line,NO.,Category,Level,City,Height,Chest,Waist,Hips,Suit,Shoes,Skin,Eyes,Hair,advertisement,popularity
1,1,1,A1162,时装模特,5,深圳,178,86,60,90,41,39,黄色,黑色,長发,2006东南亚版黑人牙膏、香港渣打银行、香港便利 、皇室咖啡、紫嶶星化妆品、 帝花之秀洗发水 .碧生源减肥茶 福特汽车. 美源春化妆品. 水井坊酒业. D&G美发产品.红双喜...房地产等；2007香港婚纱博览会 B&W新车会.BENBO休闲服.广东名瑞婚纱. 三星科技、 潮汕婚紗澳门发布会 LA发布.,14
1,1,2,J10499,外籍模特,5,,183,100,83,101,43,45,白色,棕色,短发,,0
1,1,3,A11452,时装模特,5,北京,179,86,60,88,42,38,黄色,黑色,長发,金夫人影楼 深闪视觉影楼 京城丽人婚纱 玉石婚纱 阁楼摄影 天津“勿忘我”婚纱 台北.朱莉雅婚纱 《健康杂志》封面 《男人装》 《精品购物指南》 《人头马超级模特》电子杂志 《时尚健康》 《人像摄影》 《户外装备》 《风度》 《大日子》 英国莱弗士毕业作品展 “千百变”服饰 李宁 “润密”美骨胶囊 “汉舞”手工绣花鞋 “洁仕宝”旋转拖布 “00bra”内衣 “青螺”工装 “玄雅风尚”工装 韩国服饰“舞酷” EZmorden COLOFY服饰 YIFEI懿菲旗袍 “梧桐坊”唐装 健侬,4
1,1,4,A11548,时装模特,5,深圳,178,84,63,89,42,39,黄色,黑色,直发,,1
1,2,1,A11712,时装模特,5,深圳,174,82,61,88,41,37,黄色,黑色,長发,,0
1,2,2,A13005,时装模特,5,北京,188,100,76,98,52,45,黄色,黑色,中发,,0
1,2,3,A12982,时装模特,5,广州,186,98,75,95,51,42,黄色,黑色,中发,,0
1,2,4,A12991,时装模特,5,,188,103,76,96,53,44,黄色,黑色,中发,,0
1,3,1,A13198,时装模特,5,广州,176,84,60,89,38,38,黄色,黑色,長发,,2
1,3,2,A13322,时装模特,5,北京,176,88,60,87,37,39,黄色,黑色,長发,2009 KANEBO彩妆平面广告 2008-2009李宁平面广告 2009 香草茶平面广告 2009 SUNLIGHT卫浴平面广告 2009 戴尔平面广告 2009-2010 红蜻蜓 平面广告 服装画册 2009 杰士邦平面广告 2009 新光天地服装画册 2009《瑞丽伊人风尚》 2009《瑞丽时尚先锋》 2009《瑞丽服饰美容》 2009《时尚健康》 2009 《时尚男仕》 2008 李宁订货会平面 2008《猫迷》 2008《新娘杂志》 2008《今日人像》 等,1
1,3,3,A13906,时装模特,5,深圳,183,98,76,96,51,43,黄色,黑色,長发,,0
1,3,4,B24211,广告模特,5,北京,165,81,60,85,39,37,黄色,黑色,長发,,0
1,4,1,B24219,广告模特,5,深圳,178,100,75,90,46,42,黄色,黑色,長发,,0
1,4,2,O154509,名人明星,5,上海,173,86,61,89,40,38,黄色,黑色,長发,,8
1,4,3,O155558,名人明星,5,,168,85,62,86,0,37,白色,褐色,短发,,0
1,4,4,I95576,TOP MODEL,5,北京,178,86,60,89,42.5,38,黄色,黑色,長发,中国十佳设计师刘灿明ＺＩＧＥ广告，ＳＯＤＡ广告，＜＜车天下＞＞＜＜和谐之旅＞＞封面，＜＜时尚＞＞等,0
1,5,1,A15617,时装模特,5,北京,178,84,61,88,40,39,黄色,黑色,長发,"杂志：《MISS》《精品》《VOGUE》《ILOOK》 广告：中国联通动态。希尔顿酒店宣传。贾璋柯作品《内蒙古宣传片》《无用》 K-Gold静态广告，三星显示器广告 FUTRUE打印纸，标志307CC汽车广告,乐天银泰购物中心广告.金融街购物中心广告",0
1,5,2,I95639,TOP MODEL,5,北京,179,86,58,86,37,39,黄色,黑色,長发,国际经历： 2008年:日本火炬传递中国区代表 日本：发展3个月包括杂志、广告，杂志，秀 比利时：《玩家旅游》封面 迪拜：“五朝霓赏”演出 韩国：2005中韩模特大赛 发展2个月（杂志、大赛宣传） 新加坡：发展3个月（杂志 广告，样本） 美国：2009《体育画报》封面 首位亚洲模特 杂志： (中国)《时尚先生》.《时尚新娘》.《ELLE》.《魅力先生》.《大家赏车》.《新航空》.《房地产画册》.《时尚健康》.《东方模特》封面.《嘉人》.《健康之友》.《MISS》.《时尚好管家》.《精品购物指南》.《花花世界》.《悦己》.《时尚芭莎》.《时尚cosmo》.《都市主妇》.《时尚周刊》.《瑞丽时尚先锋》.《风度》.《时装》.《瑞丽伊人》.《今日风采》.《心理月刊》.《好主妇》.《花花世界》.《大周末》.《新潮电子》.《生活速递》.《玩家旅游》封面.《优雅》.《CECI》.《风尚志》.《车时代》.《卓展》.《北京青年报》.《easy》. 《城市攻报》，《男人装》，《旭茉》，《俏丽》，《新旅行》，《瑞丽服饰与美容》，《七彩云南》，《BQ》，《卓展》，《风尚志》， （日本）《PRECIOUS》.《 WITH》 （新加坡）《SPH》 （香港） 《me》，《e周刊》，《easy》，《vogue》。 杂志封面： 《东方模特》，《体育画报》，《玩家旅游》，《婚典》，《车天下》。,1
1,5,3,I95670,TOP MODEL,5,上海,179,83,59,88,38,38,黄色,黑色,長发,,0
1,5,4,I95798,TOP MODEL,5,北京,176,86,60,88,39,39,黄色,黑色,長发,,0
2,1,1,I95800,TOP MODEL,5,上海,176,87,57,88,41,38,黄色,黑色,長发,,0
