Page,Row,Line,NO.,Category,Level,City,Height,Chest,Waist,Hips,Suit,Shoes,Skin,Eyes,Hair,advertisement,popularity
99,1,1,B219552,外籍模特,,广州,177,84,59,88,,39,黄色,绿色,長发,,
99,1,2,B219553,外籍模特,,广州,178,88,63,91,,40,黄色,褐色,長发,,
99,1,3,B219554,外籍模特,,广州,185,97,77,96,,43,黄色,褐色,短发,,
99,1,4,B219555,外籍模特,,广州,184,94,75,94,,42,黄色,蓝色,短发,,
99,2,1,B219556,外籍模特,,广州,188,94,78,93,,44,黄色,蓝色,短发,,
99,2,2,B219557,外籍模特,,广州,183,97,80,95,,43,黄色,棕色,短发,,
99,3,3,B220662,外籍模特,,广州,173,80,60,88,,39,黄色,蓝色,長发,,
99,3,4,B220663,外籍模特,,广州,173,80,60,88,,39,黄色,蓝色,長发,,
99,4,1,B220664,外籍模特,,广州,173,80,60,88,,39,黄色,绿色,長发,,
99,4,2,B220665,外籍模特,,广州,185,96,78,95,,44,黄色,绿色,短发,,
99,4,3,B220666,外籍模特,,广州,188,95,74,95,,44,黄色,蓝色,短发,,
99,4,4,B220667,外籍模特,,广州,187,92,71,91,,44,黄色,绿色,短发,,
99,5,1,B220668,外籍模特,,广州,175,90,60,90,,39,黄色,绿色,長发,,
99,5,2,B220669,外籍模特,,广州,176,84,61,90,,38,黄色,蓝色,長发,,
99,5,3,B220670,外籍模特,,广州,173,81,58,88,,38,黄色,棕色,長发,,
99,5,4,B220671,外籍模特,,广州,174,85,62,88,,39,黄色,棕色,曲发,,
100,1,1,B220672,外籍模特,,广州,175,84,60,84,,39,黄色,绿色,長发,,
100,1,2,B220673,外籍模特,,广州,172,82,60,88,,38,黄色,棕色,長发,,
100,1,3,B220674,外籍模特,,广州,188,94,70,95,,44,黄色,蓝色,長发,,
100,1,4,B220675,外籍模特,,广州,189,93,72,90,,44,黄色,绿色,短发,,
100,2,1,B220676,外籍模特,,广州,188,96,75,94,,44,黄色,绿色,短发,,
100,2,2,B220677,外籍模特,,广州,187,96,79,99,,44,黄色,蓝色,短发,,
100,2,3,B220678,外籍模特,,广州,185,93,70,93,,43,黄色,棕色,短发,,
100,2,4,B220679,外籍模特,,广州,189,88,70,92,,44,黄色,蓝色,短发,,
100,3,1,B220680,外籍模特,,广州,185,96,78,91,,44,黄色,蓝色,短发,,
100,5,3,J1017968,外籍模特,,广州,171,82,59,88,,39,黄色,蓝色,長发,,
101,1,1,J1017981,外籍模特,,广州,167,84,61,85,,38,黄色,黑色,長发,,
101,1,2,J1017982,外籍模特,,广州,168,83,61,83,,38,黄色,黑色,長发,,
101,1,3,J1017983,外籍模特,,广州,170,84,61,84,,38,黄色,黑色,長发,,
101,1,4,J1017985,外籍模特,,广州,165,83,60,83,,38,黄色,黑色,長发,,
101,2,1,J1017986,外籍模特,,广州,168,82,61,83,,38,黄色,黑色,長发,,
101,2,2,J1017987,外籍模特,,广州,165,84,60,83,,38,黄色,黑色,長发,,
101,2,3,J1017988,外籍模特,,广州,168,84,61,83,,38,黄色,黑色,長发,,
101,2,4,J1017989,外籍模特,,广州,167,82,60,83,,38,黄色,黑色,長发,,
101,3,1,J1017990,外籍模特,,广州,170,84,61,85,,38,黄色,黑色,長发,,
101,3,2,J1017991,外籍模特,,广州,174,85,61,86,,38,黄色,黑色,長发,,
101,3,3,J1017992,外籍模特,,广州,160,82,60,83,,38,黄色,黑色,長发,,
101,3,4,J1017993,外籍模特,,广州,171,85,61,84,,38,黄色,黑色,長发,,
101,4,1,J1017994,外籍模特,,广州,165,83,61,82,,38,黄色,黑色,長发,,
101,4,2,J1017995,外籍模特,,广州,167,84,62,83,,38,黄色,黑色,長发,,
101,4,3,J1017996,外籍模特,,广州,167,83,61,83,,38,黄色,黑色,長发,,
101,4,4,J1017997,外籍模特,,广州,163,82,60,83,,44,黄色,黑色,長发,,
101,5,1,J1017998,外籍模特,,广州,163,82,61,82,,38,黄色,黑色,長发,,
101,5,2,J1017999,外籍模特,,广州,168,84,62,83,,38,黄色,黑色,長发,,
101,5,3,J1018000,外籍模特,,广州,168,84,62,83,,38,黄色,黑色,長发,,
101,5,4,J1018001,外籍模特,,广州,166,83,61,84,,38,黄色,黑色,長发,,
102,1,1,J1018002,外籍模特,,广州,168,83,61,84,,38,黄色,黑色,長发,,
102,1,2,J1018003,外籍模特,,广州,164,82,61,83,,38,黄色,黑色,長发,,
102,1,3,J1018004,外籍模特,,广州,164,84,61,83,,38,黄色,黑色,長发,,
102,1,4,J1018005,外籍模特,,广州,170,85,61,85,,38,黄色,黑色,長发,,
102,2,1,J1018006,外籍模特,,广州,169,84,61,85,,38,黄色,黑色,長发,,
102,2,2,J1018007,外籍模特,,广州,172,85,61,86,,38,黄色,黑色,長发,,
102,2,3,J1018008,外籍模特,,广州,163,82,60,82,,38,黄色,黑色,長发,,
102,2,4,J1018009,外籍模特,,广州,164,84,61,83,,38,黄色,黑色,長发,,
102,3,1,J1018010,外籍模特,,广州,172,85,61,86,,38,黄色,黑色,長发,,
102,3,2,J1018011,外籍模特,,广州,170,84,62,85,,38,黄色,黑色,長发,,
102,3,3,J1018012,外籍模特,,广州,163,83,60,83,,38,黄色,黑色,長发,,
102,3,4,J1018013,外籍模特,,广州,168,84,62,85,,38,黄色,黑色,長发,,
102,4,1,J1018014,外籍模特,,广州,163,82,60,83,,38,黄色,黑色,長发,,
102,4,3,J1018020,外籍模特,,广州,171,85,61,83,,37,黄色,黑色,長发,,
102,4,4,J1018021,外籍模特,,广州,166,83,60,82,,38,黄色,黑色,長发,,
102,5,1,J1018022,外籍模特,,广州,161,83,60,84,,37,黄色,黑色,長发,,
102,5,2,J1018023,外籍模特,,广州,164,82,61,83,,37,黄色,黑色,長发,,
102,5,3,J1018024,外籍模特,,广州,162,83,60,83,,37,黄色,黑色,長发,,
102,5,4,J1018026,外籍模特,,广州,166,83,61,84,,37,黄色,黑色,長发,,
103,1,1,J1018027,外籍模特,,广州,168,83,60,84,,38,黄色,黑色,長发,,
103,1,2,J1018028,外籍模特,,广州,167,83,60,84,,37,黄色,黑色,長发,,
103,1,3,J1018029,外籍模特,,广州,175,85,60,84,,38,黄色,黑色,長发,,
103,1,4,J1018030,外籍模特,,广州,169,84,61,85,,37,黄色,黑色,長发,,
103,2,1,J1018031,外籍模特,,广州,168,84,60,83,,38,黄色,黑色,長发,,
103,2,2,J1018032,外籍模特,,广州,170,84,61,85,,38,黄色,黑色,長发,,
103,2,3,J1018033,外籍模特,,广州,164,82,60,83,,37,黄色,黑色,長发,,
103,2,4,J1018034,外籍模特,,广州,169,85,61,85,,37,黄色,黑色,長发,,
103,3,1,J1018035,外籍模特,,广州,168,82,60,83,,37,黄色,黑色,長发,,
103,3,2,J1018036,外籍模特,,广州,167,83,60,84,,37,黄色,黑色,長发,,
103,3,3,J1018037,外籍模特,,广州,170,84,61,85,,38,黄色,黑色,長发,,
103,3,4,J1018038,外籍模特,,广州,172,85,61,84,,38,黄色,黑色,長发,,
103,4,1,J1018039,外籍模特,,广州,170,84,60,83,,37,黄色,黑色,長发,,
103,4,2,J1018040,外籍模特,,广州,166,83,60,84,,38,黄色,黑色,長发,,
103,4,3,J1018041,外籍模特,,广州,164,83,61,83,,37,黄色,黑色,長发,,
103,4,4,J1018042,外籍模特,,广州,166,82,60,83,,37,黄色,黑色,長发,,
103,5,1,J1018043,外籍模特,,广州,164,81,62,83,,38,黄色,黑色,長发,,
103,5,2,J1018044,外籍模特,,广州,165,82,60,83,,37,黄色,黑色,長发,,
103,5,3,J1018045,外籍模特,,广州,167,83,61,84,,38,黄色,黑色,長发,,
