Height,Chest,Waist,Hips,Skin,Eyes,Suit,Shoes,
178,86,60,90,黄色,黑色,41,39,
183,100,83,101,白色,棕色,43,45,
179,86,60,88,黄色,黑色,42,38,
178,84,63,89,黄色,黑色,42,39,
174,82,61,88,黄色,黑色,41,37,
188,100,76,98,黄色,黑色,52,45,
186,98,75,95,黄色,黑色,51,42,
188,103,76,96,黄色,黑色,53,44,
176,84,60,89,黄色,黑色,38,38,
176,88,60,87,黄色,黑色,37,39,
183,98,76,96,黄色,黑色,51,43,
165,81,60,85,黄色,黑色,39,37,
178,100,75,90,黄色,黑色,46,42,
173,86,61,89,黄色,黑色,40,38,
168,85,62,86,白色,褐色,,37,
178,86,60,89,黄色,黑色,42.5,38,
178,84,61,88,黄色,黑色,40,39,
179,86,58,86,黄色,黑色,37,39,
179,83,59,88,黄色,黑色,38,38,
176,86,60,88,黄色,黑色,39,39,
176,87,57,88,黄色,黑色,41,38,
176,81,60,88,黄色,黑色,41,39,
179,87,59,88,黄色,黑色,41,40,
178,83,60,88,黄色,黑色,41,40,
177,82,60,88,黄色,黑色,41,39,
170,81,62,86,黄色,黑色,38,38,
178,83,57,86,黄色,黑色,41,39,
177,87,60,87,黄色,黑色,42,38,
179,84,60,90,黄色,黑色,41,39,
180,83,59,88,黄色,黑色,41,41,
180,86,59,88,黄色,黑色,41,39,
179,82,59,88,黄色,黑色,41,39,
182,87,62,90,黄色,黑色,41,39,
179,83,59,88,黄色,黑色,41,38,
181,86,59,88,黄色,黑色,43,39,
179,88,60,89,黄色,黑色,41,38,
177,84,64,90,黄色,黑色,41,39,
175,84,61,88,黄色,黑色,41,38,
174,84,62,89,黄色,黑色,37,37,
173,85,60,87,黄色,黑色,38,38,
176,91,60,93,白色,深啡,43,37,
138,54,52,64,黄色,褐色,30,33,
178,85,60,90,黄色,黑色,40,39,
172,85,61,89,黄色,黑色,37,37,
172,86,60,86,黄色,黑色,38,38,
178,82,60,89,黄色,黑色,39,38,
178,83,60,89,黄色,黑色,42,38,
180,83,62,89,黄色,黑色,42,40,
178,86,60,88,黄色,黑色,40,39,
179,84,60,89,黄色,黑色,40,39,
175,84,60,89,黄色,黑色,39,39,
170,84,60,89,黄色,黑色,40,39,
175,84,60,88,黄色,黑色,40,39,
164,84,60,88,黄色,黑色,40,39,
165,84,60,88,黄色,黑色,40,39,
179,82,60,88,黄色,黑色,42,40,
179,86,61,89,黄色,黑色,43,39,
175,86,60,89,黄色,黑色,42,38,
177,88,60,87,黄色,黑色,41,37,
160,84,60,86,黄色,黑色,39,37,
178,86,60,90,黄色,黑色,42,39,
188,102,86,96,黄色,黑色,42,43,
188,104,78,96,黄色,黑色,48,45,
173,82,58,85,黄色,黑色,38,38,
179,86,61,89,黄色,黑色,38,39,
178,84,60,88,黄色,黑色,37,39,
187,100,70,90,黄色,黑色,48,43,
189,106,76,98,黄色,黑色,50,44,
188,102,77,97,黄色,黑色,52,44,
187,101,75,95,黄色,黑色,48,44,
188,100,75,95,黄色,黑色,44,44,
167,78,65,81,黄色,黑色,38,38,
177,85,60,98,黄色,黑色,39,39,
177,85,60,88,黄色,黑色,38,39,
190,95,80,90,黄色,黑色,47,43,
180,83,59,88,黄色,黑色,44,39,
187,100,76,96,黄色,黑色,48,44,
175,83,60,88,黄色,黑色,38,38,
168,85,63,83,黄色,黑色,37,37,
187,100,73,96,黄色,黑色,52,43,
178,86,61,89,黄色,黑色,40,38,
182,95,85,90,黄色,黑色,44,42,
180,85,60,89,黄色,褐色,41,39,
178,85,58,88,黄色,棕色,43,40,
178,84,61,89,黄色,黑色,42,39,
175,88,61,89,黄色,黑色,40,38,
178,83,59,87,黄色,黑色,40,38,
179,83,61,89,黄色,黑色,42,39,
177,83,58,86,黄色,黑色,40,38,
180,83,61,89,黄色,黑色,40,39,
178,86,60,86,黄色,黑色,42,39,
179,82,60,88,黄色,黑色,41,38,
175,76,56,84,黄色,黑色,41,38,
178,86,62,89,黄色,黑色,41,39,
180,84,59,89,黄色,黑色,42,39,
179,85,58,88,黄色,黑色,42,39,
176,83,61,88,黄色,黑色,40,38,
179,84,60,89,黄色,黑色,42,39,
176,90,66,94,黄色,黑色,41,38,
178,85,60,88,黄色,黑色,41,39,
177,84,60,88,黄色,黑色,42,39,
180,80,61,86,黄色,黑色,42,39,
177,82,64,90,黄色,黑色,41,39,
178,83,60,89,黄色,黑色,41,39,
180,85,61,88,黄色,黑色,43,39,
178,86,61,89,黄色,黑色,42,39,
178,84,60,86,黄色,黑色,42,39,
180,88,60,90,黄色,黑色,42,39,
181,91,76,90,黄色,黑色,42,39,
178,83,62,89,黄色,黑色,42,39,
176,82,60,88,黄色,黑色,42,39,
181,82,61,89,黄色,黑色,41,39,
180,83,60,89,黄色,黑色,41,39,
176,85,61,87,黄色,黑色,41,39,
180,85,60,89,黄色,黑色,41,39,
177,83,62,88,黄色,黑色,41,39,
180,75,60,87,黄色,黑色,42,39,
178,85,67,89,黄色,黑色,41,39,
177,84,61,88,黄色,黑色,40,38,
177,80,61,88,黄色,黑色,41,39,
179,85,61,88,黄色,黑色,42,39,
169,84,60,88,黄色,黑色,40,38,
169,89,61,88,黄色,黑色,41,39,
167,84,60,88,黄色,黑色,40,38,
168,34,22,33,黄色,黑色,40,38,
165,84,60,88,黄色,黑色,40,38,
165,84,60,88,黄色,黑色,40,38,
168,38,24,34,黄色,黑色,40,38,
179,84,60,88,黄色,黑色,41,39,
181,82,60,88,黄色,黑色,40,38,
179,84,60,90,黄色,黑色,41,39,
177,83,57,86,黄色,黑色,41,39,
180,82,60,88,黄色,黑色,41,39,
180,85,62,90,黄色,黑色,41,39,
178,88,60,89,黄色,黑色,41,39,
180,85,64,90,黄色,黑色,42,39,
178,86,58,90,黄色,黑色,39,38,
174,86,60,88,黄色,黑色,38,38,
165,84,61,89,黄色,黑色,37,37,
168,85,64,92,黄色,黑色,37,37,
176,75,61,88,黄色,黑色,39,38,
170,88,62,89,黄色,黑色,38,38,
177,89,60,89,黄色,黑色,43,38,
188,103,75,95,黄色,黑色,50,44,
180,93,85,90,黄色,黑色,37,37,
168,84,60,85,黄色,黑色,37,37,
180,90,60,36,黄色,黑色,,39,
170,82,61,86,黄色,黑色,46,37,
180,101,74,96,黄色,黑色,,,
172,84,60,85,黄色,黑色,,39,
176,88,61,87,黄色,黑色,41,38,
188,105,77,91,黄色,黑色,,44,
175,84,62,86,黄色,黑色,,37,
180,80,62,86,黄色,黑色,,39,
178,82,60,86,黄色,黑色,,38,
177,84,62,90,黄色,黑色,,38,
180,78,58,88,黄色,黑色,,39,
175,82,64,88,黄色,黑色,,38,
177,84,62,88,黄色,黑色,,38,
168,83,58,86,黄色,黑色,,37,
188,100,76,96,黄色,棕色,,43,
170,83,59,89,黄色,黑色,,36,
163,82,58,92,黄色,黑色,,,
170,81,55,83,黄色,黑色,,,
166,82,57,86,黄色,黑色,38,36,
166,88,60,88,黄色,黑色,38,37,
169,88,60,88,黄色,黑色,,37,
185,100,78,98,黄色,黑色,,44,
173,85,62,92,白色,褐色,33,39,
178,80,60,89,黄色,黑色,39,39,
165,79,62,89,黄色,黑色,,37,
170,90,70,90,白色,黑色,37,37,
172,89,67,88,黄色,黑色,38,38,
175,84,60,87,黄色,黑色,,38,
175,86,63,88,黄色,黑色,36.5,36,
170,84,60,86,黄色,黑色,,39,
168,82,60,88,黄色,黑色,36,36,
173,85,62,90,黄色,黑色,,37,
170,90,61,92,黄色,黑色,,38,
175,88,59,90,黄色,黑色,,39,
176,93,68,92,黄色,黑色,,39,
189,96,82,94,黄色,黑色,49,43,
177,84,60,88,黄色,黑色,,39,
182,94,71,94,黄色,黑色,,42,
168,86,60,88,黄色,黑色,,38,
182,98,78,98,黄色,黑色,,42,
178,91,81,95,黄色,黑色,45,42,
182,98,76,93,黄色,黑色,,43,
185,103,78,97,黄色,黑色,51,43,
184,100,78,98,黄色,黑色,,44,
172,86,60,90,黄色,黑色,,37,
170,92,61,85,黄色,黑色,,37,
165,88,61,90,黄色,黑色,,37,
172,85,60,90,黄色,黑色,,37,
173,85,61,91,黄色,黑色,40,38,
188,100,86,96,黄色,黑色,52,44,
171,88,62,89,黄色,黑色,,39,
178,88,60,89,黄色,黑色,,38,
171,88,65,92,黄色,黑色,39,37,
188,100,75,97,黄色,黑色,,43,
168,86,63,89,黄色,黑色,,38,
180,90,64,91,黄色,黑色,,39,
175,84,60,87,黄色,黑色,,38,
176,87,60,90,黄色,黑色,,37,
166,85,59,87,黄色,黑色,,37,
175,85,62,90,黄色,黑色,,37,
176,88,61,90,黄色,黑色,,37,
174,85,63,88,黄色,黑色,37,37,
178,84,60,90,黄色,黑色,,37,
188,102,78,96,黄色,黑色,51,44,
174,85,62,89,黄色,黑色,42,39,
174,85,60,86,黄色,黑色,,37,
171,83,61,88,黄色,黑色,,38,
168,88,64,92,黄色,黑色,45,37,
177,87,60,88,黄色,黑色,40,38,
165,86,56,86,黄色,黑色,,35,
176,86,61,88,黄色,黑色,,38,
172,82,59,85,黄色,黑色,,38,
178,85,59,88,黄色,黑色,,38,
177,84,60,88,黄色,黑色,41,39,
